canonical,CDK1,CDK2,compound_id,connectivity,validation_group,partition,delta_p,delta_lower_bound,ratio,ratio_lower_bound
O=C1N([C@@H]2CCC[C@@H](O)C2)c2nc(Nc3c[nH]nc3OCC3(F)COC3)ncc2C12CC2,5.488116639021126,7.657577319177793,HC-5583f266015cd435ef65c84c,O=C1N(C2CCCC(O)C2)c2nc(Nc3c[nH]nc3OCC3(F)COC3)ncc2C12CC2,O=C1N([C@@H]2CCC[C@@H](O)C2)c2nc(Nc3c[nH]nc3OCC3(F)COC3)ncc2C12CC2,train,2.169460680156668,,147.7272727272726,
O=C1N([C@@H]2CCC[C@@H](O)C2)c2nc(Nc3c[nH]nc3OCC3CC3)ncc2C12CC2,5.982966660701219,8.096910013008056,HC-3dc6ec245d2862ec30bac576,O=C1N(C2CCCC(O)C2)c2nc(Nc3c[nH]nc3OCC3CC3)ncc2C12CC2,O=C1N([C@@H]2CCC[C@@H](O)C2)c2nc(Nc3c[nH]nc3OCC3CC3)ncc2C12CC2,train,2.113943352306837,,130.00000000000006,
O=C1N([C@@H]2CCC[C@@H](O)C2)c2nc(Nc3c[nH]nc3OCC3CC4(COC4)C3)ncc2C12CC2,,6.872895201635192,HC-7e4a441cd02054699398e77a,O=C1N(C2CCCC(O)C2)c2nc(Nc3c[nH]nc3OCC3CC4(COC4)C3)ncc2C12CC2,O=C1N([C@@H]2CCC[C@@H](O)C2)c2nc(Nc3c[nH]nc3OCC3CC4(COC4)C3)ncc2C12CC2,train,,1.8728952016351919,,74.6268656716417
O=C1N([C@@H]2CCC[C@@H](O)C2)c2nc(Nc3c[nH]nc3OCCF)ncc2C12CC2,5.920818753952375,8.154901959985743,HC-f62b975cee248388caed4d95,O=C1N(C2CCCC(O)C2)c2nc(Nc3c[nH]nc3OCCF)ncc2C12CC2,O=C1N([C@@H]2CCC[C@@H](O)C2)c2nc(Nc3c[nH]nc3OCCF)ncc2C12CC2,train,2.234083206033368,,171.4285714285715,
O=C1N([C@@H]2CCC[C@@H](O)C2)c2nc(Nc3c[nH]nc3OCCO)ncc2C12CC2,5.427128397799519,7.619788758288394,HC-ce34681968f73699c4f6878c,O=C1N(C2CCCC(O)C2)c2nc(Nc3c[nH]nc3OCCO)ncc2C12CC2,O=C1N([C@@H]2CCC[C@@H](O)C2)c2nc(Nc3c[nH]nc3OCCO)ncc2C12CC2,development,2.1926603604888744,,155.8333333333334,
O=C1N([C@@H]2CCC[C@@H](O)C2)c2nc(Nc3c[nH]nc3OC[C@@H]3CCOC3)ncc2C12CC2,5.11975822410452,7.356547323513812,HC-0827e4e120875d7aa5194d6a,O=C1N(C2CCCC(O)C2)c2nc(Nc3c[nH]nc3OCC3CCOC3)ncc2C12CC2,O=C1N([C@@H]2CCC[C@@H](O)C2)c2nc(Nc3c[nH]nc3OC[C@@H]3CCOC3)ncc2C12CC2,train,2.2367890994092923,,172.49999999999974,
O=C1N([C@@H]2CCC[C@@H](O)C2)c2nc(Nc3c[nH]nc3OC[C@H]3CCOC3)ncc2C12CC2,5.1249387366083,7.214670164989233,HC-744d18720e0816664a6f88cf,O=C1N(C2CCCC(O)C2)c2nc(Nc3c[nH]nc3OCC3CCOC3)ncc2C12CC2,O=C1N([C@@H]2CCC[C@@H](O)C2)c2nc(Nc3c[nH]nc3OC[C@@H]3CCOC3)ncc2C12CC2,train,2.089731428380933,,122.95081967213113,
O=C1N([C@@H]2CCC[C@@H](O)C2)c2nc(Nc3c[nH]nc3OC[C@H]3COCC3(F)F)ncc2C12CC2,5.482804102050026,7.494850021680094,HC-febdaa1aad2e1f92fe314828,O=C1N(C2CCCC(O)C2)c2nc(Nc3c[nH]nc3OCC3COCC3(F)F)ncc2C12CC2,O=C1N([C@@H]2CCC[C@@H](O)C2)c2nc(Nc3c[nH]nc3OC[C@H]3COCC3(F)F)ncc2C12CC2,train,2.0120459196300677,,102.81249999999986,
O=C1N([C@@H]2CCC[C@@H](O)C2)c2nc(Nc3c[nH]nc3OC[C@H]3COCCO3)ncc2C12CC2,5.374687549038326,7.292429823902063,HC-1a4f70baa270a9c7c05faee5,O=C1N(C2CCCC(O)C2)c2nc(Nc3c[nH]nc3OCC3COCCO3)ncc2C12CC2,O=C1N([C@@H]2CCC[C@@H](O)C2)c2nc(Nc3c[nH]nc3OC[C@H]3COCCO3)ncc2C12CC2,train,1.9177422748637376,,82.7450980392157,
O=C1N([C@@H]2CCC[C@@H](O)C2)c2nc(Nc3c[nH]nc3O[C@@H]3CC3(F)F)ncc2C12CC2,6.086186147616283,8.221848749616356,HC-b7914dc349fa7a633fc06fe6,O=C1N(C2CCCC(O)C2)c2nc(Nc3c[nH]nc3OC3CC3(F)F)ncc2C12CC2,O=C1N([C@@H]2CCC[C@@H](O)C2)c2nc(Nc3c[nH]nc3O[C@H]3CC3(F)F)ncc2C12CC2,train,2.135662602000073,,136.6666666666666,
